"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Precinct Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
Precinct 108 ,Precinct 108,"","",""
DEM - UNITED STATES SENATOR ,(Final) SG - UNITED STATES SENATOR ,"","",(Final)
"Write In, if any ","5 0.97% Write In, if any ","",0 ,0.00%
Total... ,515 100.00% Total... ,"",0 ,0.00%
DEM - UNITED STATES REPRESENTATIVE ,(Final) SG - UNITED STATES REPRESENTATIVE ,"","",(Final)
Mike Panetta ,217 47.38% Keith R. Ware ,"",0 ,0.00%
John J. Forster ,"159 34.72% Write In, if any ","",0 ,0.00%
James S. Bubar ,70 15.28% Total... ,"",0 ,0.00%
"Write In, if any ",12 2.62%,"","",""
Total... ,458 100.00%,"","",""
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final),"","",""
"Write In, if any ",2 100.00%,"","",""
Total... ,2 100.00%,"","",""
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"","",""
David W. Kranich ,4 80.00%,"","",""
"Write In, if any ",1 20.00%,"","",""
Total... ,5 100.00%,"","",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"","",""
"Write In, if any ",1 100.00%,"","",""
Total... ,1 100.00%,"","",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"","",""
Marcus Skelton ,5 100.00%,"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,5 100.00%,"","",""
REP - UNITED STATES SENATOR ,(Final),"","",""
"Write In, if any ",1 100.00%,"","",""
Total... ,1 100.00%,"","",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,0 0.00%,"","",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,0 0.00%,"","",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"","",""
Chris Otten ,0 0.00%,"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,0 0.00%,"","",""
SG - CHAIRMAN OF THE COUNCIL ,(Final),"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,0 0.00%,"","",""
SG - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"","",""
Ann C. Wilcox ,0 0.00%,"","",""
"Write In, if any ",0 0.00%,"","",""
Total... ,0 0.00%,"","",""
SG - UNITED STATES SENATOR ,(Final),"","",""
Joyce Robinson-Paul ,0 0.00%,"","",""
